https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1621036800,2021-05-15 00:00:00,LTC/USDT,325.6326444,331.56233505,296.5298,299.91209108,6160249.47051245,19733.41521588
1620951834,2021-05-14 00:23:54,LTC/USDT,326.06300986,326.06300986,326.06300986,326.06300986,0.0,0.0
1620950400,2021-05-14 00:00:00,LTC/USDT,317.73527388,338.62796411,308.08997414,326.06300986,4781250.35403388,14787.60130755
1620865472,2021-05-13 00:24:32,LTC/USDT,317.44278184,317.44278184,317.44278184,317.44278184,0.0,0.0
1620864000,2021-05-13 00:00:00,LTC/USDT,309.861444,332.73699999,291.0,317.44278184,14769832.889853,47008.78047615
1620780192,2021-05-12 00:43:12,LTC/USDT,309.5680209,309.5680209,309.5680209,309.5680209,0.0,0.0
1620777600,2021-05-12 00:00:00,LTC/USDT,377.6897,393.88492212,302.10342954,309.5680209,12566569.42442287,35145.81843685
1620692647,2021-05-11 00:24:07,LTC/USDT,377.51919999,377.51919999,377.51919999,377.51919999,0.0,0.0
1620691200,2021-05-11 00:00:00,LTC/USDT,358.9704702,379.1458499,345.20324896,377.51919999,7143431.38820353,19851.51764681
1620606176,2021-05-10 00:22:56,LTC/USDT,358.999641,358.999641,358.999641,358.999641,0.0,0.0
1620604800,2021-05-10 00:00:00,LTC/USDT,387.74850156,413.0,352.3892,358.999641,18235280.10824069,46999.30919523
1620519857,2021-05-09 00:24:17,LTC/USDT,388.09004996,388.09004996,388.09004996,388.09004996,0.0,0.0
1620518400,2021-05-09 00:00:00,LTC/USDT,346.74165016,389.1,333.51624925,388.09004996,14021645.03243106,38989.08401482
1620433646,2021-05-08 00:27:26,LTC/USDT,346.37,346.37,346.37,346.37,0.0,0.0
1620432000,2021-05-08 00:00:00,LTC/USDT,345.0,356.76953917,334.23568597,346.37,6355607.94722381,18436.26925553
1620347065,2021-05-07 00:24:25,LTC/USDT,345.18638022,345.18638022,345.18638022,345.18638022,0.0,0.0
1620345600,2021-05-07 00:00:00,LTC/USDT,354.48112871,373.0,333.81188911,345.18638022,10555736.93221555,29647.31923321
1620260622,2021-05-06 00:23:42,LTC/USDT,353.95612871,353.95612871,353.95612871,353.95612871,0.0,0.0
1620259200,2021-05-06 00:00:00,LTC/USDT,356.16255774,364.65275104,318.89,353.95612871,13964591.08398541,40870.56228179
1620174962,2021-05-05 00:36:02,LTC/USDT,355.66255774,355.66255774,355.66255774,355.66255774,0.0,0.0
1620172800,2021-05-05 00:00:00,LTC/USDT,305.36932013,359.58731204,301.03319479,355.66255774,15653766.83958941,46169.0073507
1620087793,2021-05-04 00:23:13,LTC/USDT,305.26170013,305.26170013,305.26170013,305.26170013,0.0,0.0
1620086400,2021-05-04 00:00:00,LTC/USDT,294.68373271,327.55555555,270.55144188,305.26170013,15723496.33798189,52036.15113292
1620001434,2021-05-03 00:23:54,LTC/USDT,294.27556886,294.27556886,294.27556886,294.27556886,0.0,0.0
1620000000,2021-05-03 00:00:00,LTC/USDT,268.77096,299.36681125,268.60055466,294.27556886,3913863.4953804,13803.45454257
1619915076,2021-05-02 00:24:36,LTC/USDT,269.0,269.0,269.0,269.0,0.0,0.0
1619913600,2021-05-02 00:00:00,LTC/USDT,277.05678,277.2393,264.75,269.0,1630339.58329319,6040.4174252
1619828690,2021-05-01 00:24:50,LTC/USDT,276.53749381,276.53749381,276.53749381,276.53749381,0.0,0.0
1619827200,2021-05-01 00:00:00,LTC/USDT,271.07571278,278.54270101,265.961885,276.53749381,1911829.4805769,7048.35700643
1619742222,2021-04-30 00:23:42,LTC/USDT,271.0164448,271.0164448,271.0164448,271.0164448,0.0,0.0
1619740800,2021-04-30 00:00:00,LTC/USDT,255.23844425,273.38865076,252.69498706,271.0164448,3010147.61305693,11459.40416248
1619656003,2021-04-29 00:26:43,LTC/USDT,255.36192756,255.36192756,255.36192756,255.36192756,0.0,0.0
1619654400,2021-04-29 00:00:00,LTC/USDT,258.14750538,262.61981482,248.64072417,255.36192756,3023922.54236298,11830.01410737
1619570067,2021-04-28 00:34:27,LTC/USDT,258.07896043,258.07896043,258.07896043,258.07896043,0.0,0.0
1619568000,2021-04-28 00:00:00,LTC/USDT,259.89522233,266.87574526,248.18316707,258.07896043,5118278.68558771,20010.20233527
1619483062,2021-04-27 00:24:22,LTC/USDT,259.51971709,259.51971709,259.51971709,259.51971709,0.0,0.0
1619481600,2021-04-27 00:00:00,LTC/USDT,246.89294894,262.94744153,243.88860001,259.51971709,3987942.67681316,15635.8911027
1619396691,2021-04-26 00:24:51,LTC/USDT,247.51812449,247.51812449,247.51812449,247.51812449,0.0,0.0
1619395200,2021-04-26 00:00:00,LTC/USDT,223.86132574,248.07712487,221.42528152,247.51812449,4547826.83224764,19036.84578114
1619310236,2021-04-25 00:23:56,LTC/USDT,223.36132574,223.36132574,223.36132574,223.36132574,0.0,0.0
1619308800,2021-04-25 00:00:00,LTC/USDT,224.6961,235.68763583,211.0,223.36132574,3374140.56357437,15111.05875328
1619223986,2021-04-24 00:26:26,LTC/USDT,224.94483,224.94483,224.94483,224.94483,0.0,0.0
1619222400,2021-04-24 00:00:00,LTC/USDT,241.03672625,241.13680559,220.57804551,224.94483,3870184.02413571,16828.47112406
1619137410,2021-04-23 00:23:30,LTC/USDT,241.33720001,241.33720001,241.33720001,241.33720001,0.0,0.0
1619136000,2021-04-23 00:00:00,LTC/USDT,252.52010528,256.9664102,213.33446453,241.33720001,9228128.7379663,39714.23791551
1619051061,2021-04-22 00:24:21,LTC/USDT,252.60847727,252.60847727,252.60847727,252.60847727,0.0,0.0
1619049600,2021-04-22 00:00:00,LTC/USDT,258.30827232,289.36089772,240.0,252.60847727,9751011.47688754,36234.74868422
1618965975,2021-04-21 00:46:15,LTC/USDT,257.85429954,257.85429954,257.85429954,257.85429954,0.0,0.0
1618963200,2021-04-21 00:00:00,LTC/USDT,261.02076,276.57573229,251.10486077,257.85429954,4832419.12995344,18242.12131835
1618878209,2021-04-20 00:23:29,LTC/USDT,260.70165611,260.70165611,260.70165611,260.70165611,0.0,0.0
1618876800,2021-04-20 00:00:00,LTC/USDT,261.27979467,272.62700117,234.37062948,260.70165611,6832123.0335194,27158.47487366
