https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1619308800,2021-04-25 00:00:00,EOS/USDT,5.10920007,5.45456612,4.621,4.99348873,223755.3909127,43996.6225484
1619223986,2021-04-24 00:26:26,EOS/USDT,5.08285253,5.08285253,5.08285253,5.08285253,0.0,0.0
1619222400,2021-04-24 00:00:00,EOS/USDT,5.57656688,5.5839072,5.03869915,5.08285253,314033.96173383,58870.69162119
1619137410,2021-04-23 00:23:30,EOS/USDT,5.58530472,5.58530472,5.58530472,5.58530472,0.0,0.0
1619136000,2021-04-23 00:00:00,EOS/USDT,5.85294117,5.98470759,4.6,5.58530472,606542.33667345,113740.45684704
1619051061,2021-04-22 00:24:21,EOS/USDT,5.86285902,5.86285902,5.86285902,5.86285902,0.0,0.0
1619049600,2021-04-22 00:00:00,EOS/USDT,6.38189359,6.81269645,5.6,5.86285902,896586.35683699,141831.49757953
1618965975,2021-04-21 00:46:15,EOS/USDT,6.33083844,6.33083844,6.33083844,6.33083844,0.0,0.0
1618963200,2021-04-21 00:00:00,EOS/USDT,6.70894095,6.86032211,6.23876832,6.33083844,511136.00114903,77644.09863651
1618878209,2021-04-20 00:23:29,EOS/USDT,6.67688263,6.67688263,6.67688263,6.67688263,0.0,0.0
1618876800,2021-04-20 00:00:00,EOS/USDT,6.59317892,6.84600336,6.07036796,6.67688263,685050.58207722,107237.04188985
